N,Okrug,Rooms,Price,Totsp,Livesp,Kitsp,Dolgota,Shirota,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,View,Elevator
149881502,0.0,1.0,20112000.0,50.8,30.0,10.0,37.637605,55.769519,2.0806200927996565,7.0,1.0,1.0,1.0,0.0,4.0,8.0,0.0,двор и улица,1.0
143084951,0.0,5.0,71990000.0,165.3,93.0,26.0,37.620016,55.770578,1.8757858365410132,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,двор,1.0
149444630,0.0,1.0,29895000.0,48.2,39.5,8.0,37.618569,55.722142,3.510959433395946,7.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,улица,1.0
151071264,0.0,5.0,1730000.0,194.2,1.0,,37.618569,55.722142,3.510959433395946,9.0,1.0,0.0,0.0,1.0,10.0,13.0,0.0,двор и улица,1.0
149031353,0.0,1.0,4403057.0,22.7,22.7,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
149031259,0.0,1.0,4585315.0,17.3,17.3,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
151004941,0.0,1.0,4814581.0,17.3,10.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,–,1.0
150346368,0.0,1.0,4814581.0,17.3,17.3,,37.672163,55.776294,4.126151005667003,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,двор,1.0
150683709,0.0,0.0,4897200.0,27.4,19.8,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,4.0,19.0,1.0,–,0.0
150682443,0.0,0.0,5168000.0,27.2,19.8,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,5.0,19.0,1.0,–,0.0
150640194,0.0,1.0,5300000.0,32.0,20.0,7.0,37.673214,55.730101,4.250951363466763,4.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,двор,1.0
151004981,0.0,1.0,5377566.0,18.3,10.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,–,1.0
148794719,0.0,1.0,5496232.0,23.7,23.7,,37.672163,55.776294,4.126151005667003,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,двор,1.0
149031261,0.0,1.0,5496232.0,23.7,23.7,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
149565205,0.0,1.0,5550000.0,37.4,20.0,9.6,37.689042,55.775793,4.977445548912099,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,двор,1.0
150683797,0.0,0.0,5738000.0,31.8,21.7,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,5.0,19.0,1.0,–,0.0
150684102,0.0,0.0,5738000.0,38.0,23.9,,37.685364,55.745617,4.200199196570552,,1.0,1.0,0.0,0.0,4.0,19.0,1.0,–,0.0
149849414,0.0,1.0,5999000.0,30.0,16.0,6.0,37.522477,55.756356,6.09752858561299,,1.0,1.0,1.0,1.0,3.0,5.0,0.0,улица,0.0
149300855,0.0,1.0,6000000.0,35.0,20.0,10.0,37.522998,55.753387,6.058388343040246,13.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,–,1.0
149788538,0.0,1.0,6000000.0,35.1,20.1,9.6,37.677301,55.737988,4.0008506019712815,10.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,двор,1.0
148112883,0.0,1.0,6100000.0,34.0,21.0,8.0,37.558796,55.770613,4.254269299388774,12.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,–,0.0
149727197,0.0,1.0,6100000.0,36.0,20.0,10.0,37.677301,55.737988,4.0008506019712815,10.0,1.0,1.0,1.0,1.0,12.0,12.0,0.0,двор,1.0
151005044,0.0,1.0,6258687.0,25.5,15.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,–,1.0
149031382,0.0,1.0,6258687.0,25.5,25.5,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
149031327,0.0,1.0,6285999.0,32.6,32.6,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,–,1.0
151005116,0.0,1.0,6325576.0,30.0,17.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,–,1.0
148800467,0.0,1.0,6325576.0,29.5,29.5,,37.67228,55.775824,4.100437086981133,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,двор,1.0
149031279,0.0,1.0,6355668.0,22.3,22.3,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
150674314,0.0,3.0,60000000.0,124.0,69.0,13.0,37.59833,55.768243,2.1018209281840052,6.0,1.0,1.0,0.0,1.0,7.0,8.0,0.0,улица,0.0
149842552,0.0,4.0,110623500.0,181.4,90.0,21.0,37.549067,55.761558,4.511299751485685,10.0,1.0,0.0,0.0,1.0,13.0,21.0,0.0,двор и улица,1.0
2929515,0.0,5.0,140564160.0,231.0,150.0,,37.604592,55.76172,1.303967337195753,4.0,1.0,0.0,0.0,1.0,5.0,6.0,0.0,двор и улица,1.0
150882455,0.0,2.0,175500000.0,135.0,60.0,,37.596722,55.764723,1.8938244291485287,7.0,1.0,0.0,0.0,0.0,6.0,7.0,1.0,–,0.0
139153565,0.0,2.0,36121590.0,88.9,38.0,26.2,37.554214,55.761538,4.195376506538516,9.0,1.0,1.0,0.0,0.0,4.0,18.0,0.0,двор и улица,1.0
150320632,0.0,2.0,49600000.0,84.0,34.0,18.5,37.576762,55.726208,4.076615001657105,5.0,1.0,1.0,0.0,1.0,10.0,13.0,0.0,двор,0.0
151005216,0.0,1.0,6437035.0,33.5,18.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,–,1.0
151005085,0.0,1.0,6449418.0,28.5,16.0,,37.671938,55.775753,4.078596920186668,6.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,–,1.0
149031375,0.0,1.0,6449418.0,29.5,29.5,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
149031349,0.0,1.0,6467402.0,28.2,28.2,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,–,1.0
150260995,0.0,1.0,6500000.0,30.7,18.6,5.6,37.556424,55.77114,4.413228445984754,10.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,двор,0.0
140980631,0.0,1.0,6500000.0,36.8,20.5,6.0,37.521947,55.751361,6.129930348789522,11.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,двор и улица,0.0
149031376,0.0,1.0,6577730.0,28.1,28.1,,37.671938,55.775753,4.078596920186668,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,–,1.0
150678964,0.0,1.0,6600000.0,33.1,20.2,5.6,37.676753,55.73003,4.432046057656878,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,двор и улица,1.0
150679023,0.0,2.0,6600000.0,33.1,18.0,6.0,37.676753,55.73003,4.432046057656878,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,двор и улица,1.0
150459322,0.0,1.0,6600000.0,34.0,18.0,10.0,37.518928,55.758564,6.335170649908508,10.0,1.0,0.0,1.0,1.0,2.0,12.0,0.0,двор,1.0
150977773,0.0,1.0,6800000.0,27.0,17.0,5.4,37.691638,55.77472,5.063252232118456,10.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,двор,0.0
150720249,0.0,1.0,6800000.0,31.0,19.0,7.0,37.542419,55.759537,4.885409155234279,15.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,двор,0.0
147655377,0.0,1.0,6850000.0,32.0,17.0,8.0,37.676385,55.734962,4.1096135487952035,9.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0,двор и улица,1.0
149431030,0.0,1.0,6900000.0,34.0,19.0,9.0,37.642132,55.774305,2.6820265052968852,5.0,1.0,0.0,0.0,1.0,3.0,16.0,0.0,–,1.0
149213362,0.0,1.0,6934500.0,34.0,,,37.642132,55.774305,2.6820265052968852,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0,–,1.0
